states,actions,states full,actions_num
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4089.624981433185), np.float64(1.2967), np.float64(0.64902), np.float64(8800.0), np.float64(6807.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3941.9192367550468), np.float64(-0.32378), np.float64(0.63754), np.float64(8800.0), np.float64(6807.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3941.9192367550468), np.float64(-0.20027), np.float64(0.5366), np.float64(8800.0), np.float64(6807.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3941.9192367550468), np.float64(-0.09223), np.float64(0.41858), np.float64(8800.0), np.float64(6807.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3941.9192367550463), np.float64(-0.0048536), np.float64(0.42342), np.float64(8800.0), np.float64(6807.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3951.2141125559665), np.float64(0.0062474), np.float64(0.42402), np.float64(8800.0), np.float64(6807.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3939.910478521483), np.float64(0.014054), np.float64(0.42468), np.float64(8800.0), np.float64(6807.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3941.011342668408), np.float64(0.01706), np.float64(0.42472), np.float64(8800.0), np.float64(6807.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3942.719662431053), np.float64(0.0218), np.float64(0.42507), np.float64(8800.0), np.float64(6807.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3942.559229788212), np.float64(0.024077), np.float64(0.42492), np.float64(8800.0), np.float64(7434.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3939.7821300485953), np.float64(0.026601), np.float64(0.42492), np.float64(8800.0), np.float64(7434.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3925.2499482729927), np.float64(0.0082339), np.float64(0.43886), np.float64(8800.0), np.float64(7434.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3915.655491466403), np.float64(0.45295), np.float64(0.73772), np.float64(8800.0), np.float64(7434.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3775.363454843769), np.float64(0.52807), np.float64(0.80553), np.float64(8800.0), np.float64(7434.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3775.363454843769), np.float64(0.88148), np.float64(0.94478), np.float64(8800.0), np.float64(7434.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3775.363454843769), np.float64(0.87005), np.float64(0.93559), np.float64(8800.0), np.float64(7434.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3775.363454843769), np.float64(0.87574), np.float64(0.92148), np.float64(8800.0), np.float64(7434.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3786.6670888782523), np.float64(0.87779), np.float64(0.9174), np.float64(8800.0), np.float64(7434.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3800.0226285124677), np.float64(0.87877), np.float64(0.91643), np.float64(8800.0), np.float64(7434.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3824.6749459916396), np.float64(0.88588), np.float64(0.92057), np.float64(8800.0), np.float64(7434.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3857.910827531811), np.float64(0.88644), np.float64(0.91979), np.float64(8800.0), np.float64(7434.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3956.4412224179587), np.float64(0.88652), np.float64(0.91823), np.float64(8800.0), np.float64(8800.0), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
